0_bloodiness 0_bk_bloodiness_human
1_bomb 1_bk_bomb_fire
1_bomb 2_bk_bomb_smoke
1_bomb 3_bk_bomb_vehicle
1_bomb 4_bk_bomb_self-burning
2_beheaded 5_bk_beheaded_isis
2_beheaded 6_bk_beheaded_decollation
3_march 7_bk_march_banner
3_march 8_bk_march_crowed
4_fight 9_bk_fight_police
4_fight 10_bk_fight_person
5_sen_character 11_sen_character
6_sen_masked 12_sen_masked
7_sen_army 13_sen_army
8_sen_scene 14_sen_scene_person
9_sen_anime 15_sen_anime_likely_bloodiness
10_sen_anime 16_sen_anime_likely_bomb
11_sen_Islamic_dress 17_sen_Islamic_dress
12_normal 18_abnormal_bloodiness_animal
12_normal 19_abnormal_disaster-scene
12_normal 20_abnormal_porn
12_normal 21_normal_bloodiness_likely_anime
12_normal 22_normal_fight_likely_sports
12_normal 23_normal_fight_likely_box
12_normal 24_normal_fight_likely_fencing
12_normal 25_normal_fight_likely_judo
12_normal 26_normal_fight_likely_bullfight
12_normal 27_normal_fight_likely_ancient_war
12_normal 28_normal_text_weibo
12_normal 29_normal_text_chat
12_normal 30_normal_bomb_likely_atom
12_normal 31_normal_bomb_likely_rocket
12_normal 32_normal_bomb_likely_sunrise
12_normal 33_normal_bomb_likely_haze
12_normal 34_normal_bomb_likely_candlelight
12_normal 35_normal_bomb_likely_vehicles
12_normal 36_normal_march_likely_crowed
12_normal 37_normal_march_likely_troops
12_normal 38_normal_march_likely_legal_banner
12_normal 39_normal_march_likely_photo
12_normal 40_normal_march_likely_aerial
12_normal 41_normal_march_likely_animal_migration
12_normal 42_normal_march_beach_crowed
12_normal 43_normal_march_vocal_concert
12_normal 44_normal_pron_likely_sexy
12_normal 45_background_text
12_normal 46_background_with_people
12_normal 47_background_no_people
